Ticker,Company Name,Description
AAPL,Apple Inc.,"Designs, manufactures, and markets mobile communication and media devices."
MSFT,Microsoft Corporation,"Develops, licenses, and supports software products, services, and devices."
AMZN,Amazon.com Inc.,"Provides online retail services, cloud computing, and digital streaming."
GOOGL,Alphabet Inc. (Google),"Offers online advertising services, search engine, and various internet-related services."
FB,"Meta Platforms, Inc.",Builds products that enable people to connect and share with friends and family.
TSLA,"Tesla, Inc.","Designs, manufactures, and sells electric vehicles and energy storage products."
JPM,JPMorgan Chase & Co.,"Provides financial and banking services to consumers, corporations, and institutions."
V,Visa Inc.,Facilitates electronic funds transfers throughout the world.
PG,Procter & Gamble Company,"Produces and sells consumer goods, including household and personal care products."
DIS,The Walt Disney Company,"Operates media networks, theme parks, and produces films and television content."
